0.0 1.05263
1.0 1.048
2.0 1.048
3.0 1.04955
4.0 1.04337
5.0 1.04184
6.0 1.04647
7.0 1.04493
8.0 1.04647
9.0 1.04801
10.0 1.05264
11.0 1.04956
12.0 1.0542
13.0 1.05728
14.0 1.05883
15.0 1.05727
16.0 1.05882
17.0 1.06189
18.0 1.05881
19.0 1.05881
20.0 1.05881
21.0 1.05881
22.0 1.05572
23.0 1.06499
24.0 1.07427
25.0 1.08665
26.0 1.09905
27.0 1.13928
28.0 1.20433
29.0 1.28828
30.0 1.36528
31.0 1.45113
32.0 1.54598
33.0 1.64338
34.0 1.73791
35.0 1.79775
36.0 1.85071
37.0 1.88958
38.0 1.91311
39.0 1.92149
40.0 1.92565
41.0 1.92071
42.0 1.90773
43.0 1.88958
44.0 1.85349
45.0 1.80881
46.0 1.75878
47.0 1.72011
48.0 1.68179
49.0 1.6437
50.0 1.59641
51.0 1.55665
52.0 1.52266
53.0 1.48663
54.0 1.4472
55.0 1.41246
56.0 1.38419
57.0 1.35619
58.0 1.32527
59.0 1.2975
60.0 1.27439
61.0 1.25437
62.0 1.22967
63.0 1.20798
64.0 1.1924
65.0 1.17683
66.0 1.16134
67.0 1.14589
68.0 1.13515
69.0 1.12601
70.0 1.11842
71.0 1.10619
72.0 1.10004
73.0 1.09689
74.0 1.08904
75.0 1.08424
76.0 1.08251
77.0 1.07926
78.0 1.07914
79.0 1.07445
80.0 1.07442
81.0 1.07288
82.0 1.06978
83.0 1.0682
84.0 1.06661
85.0 1.06812
86.0 1.06191
87.0 1.05882
88.0 1.05726
89.0 1.05881
90.0 1.05726
90.909 1.05263
